"StudentNumber","StudentName","email","password"
"12070791","YD SUBRAMONEY","12070791@mylife.unisa.ac.za",
"12071234","HR MOYABA","12071234@mylife.unisa.ac.za",
"12072395","OI LEBELO","12072395@mylife.unisa.ac.za",
"12078173","NC MOTLOGELOA","12078173@mylife.unisa.ac.za",
"12091034","YG MOKOKA","12091034@mylife.unisa.ac.za",
"12111022","NM MDHLALOSE","12111022@mylife.unisa.ac.za",
"12120214","BS OBO","12120214@mylife.unisa.ac.za",
"12151139","KV MONYAMANE","12151139@mylife.unisa.ac.za",
"12260787","PY HOHBACH","12260787@mylife.unisa.ac.za",
"12292721","JK NAKIN","12292721@mylife.unisa.ac.za",
"12353048","EC KGABO","12353048@mylife.unisa.ac.za",
"12363459","WP LEBOHO","12363459@mylife.unisa.ac.za",
"12374529","ZC KHANYE","12374529@mylife.unisa.ac.za",
"12379780","UE CHERIAN","12379780@mylife.unisa.ac.za",
"12386432","KA SETHOGA","12386432@mylife.unisa.ac.za",
"12400648","NZ KUBYANA","12400648@mylife.unisa.ac.za",
"12406386","IA MOKHATLA","12406386@mylife.unisa.ac.za",
"12423795","KF MABASA","12423795@mylife.unisa.ac.za",
"12427903","NI MAKWALA","12427903@mylife.unisa.ac.za",
"12437147","JE RAMADEEN","12437147@mylife.unisa.ac.za",
"12475706","QT NTULI","12475706@mylife.unisa.ac.za",
"12481490","WD SETHEMA","12481490@mylife.unisa.ac.za",
"12515706","DA SKOSANA","12515706@mylife.unisa.ac.za",
"12523831","IJ RWAFA","12523831@mylife.unisa.ac.za",
"12533989","VC MURUGAN","12533989@mylife.unisa.ac.za",
"12539317","KC NTINGANTI","12539317@mylife.unisa.ac.za",
"12550779","XU LENAKE","12550779@mylife.unisa.ac.za",
"12556180","NS MUBINDE","12556180@mylife.unisa.ac.za",
"12578773","R  IDOWU","12578773@mylife.unisa.ac.za",
"12612879","NV CHIMENE","12612879@mylife.unisa.ac.za",
"12629519","ZA MAHLANGU","12629519@mylife.unisa.ac.za",
"12696000","GQ GAGU","12696000@mylife.unisa.ac.za",
"12712732","DO KUNENE","12712732@mylife.unisa.ac.za",
"12721826","CP MATODZI","12721826@mylife.unisa.ac.za",
"12728112","AO TAPANI","12728112@mylife.unisa.ac.za",
"12733278","VL KUPANE","12733278@mylife.unisa.ac.za",
"12753387","GE JUMNA","12753387@mylife.unisa.ac.za",
"12758234","YC PILUSA","12758234@mylife.unisa.ac.za",
"12780722","DK MAKOFANE","12780722@mylife.unisa.ac.za",
"12798763","HT MAPOSA","12798763@mylife.unisa.ac.za",
"12799902","QU KOEN","12799902@mylife.unisa.ac.za",
"12851032","NA HOOSEN","12851032@mylife.unisa.ac.za",
"12879713","JB MALATJI","12879713@mylife.unisa.ac.za",
"12881786","EN MPEDI","12881786@mylife.unisa.ac.za",
"12884339","EL MAKHADO","12884339@mylife.unisa.ac.za",
"12905884","EJ RAMPFUMEDZI","12905884@mylife.unisa.ac.za",
"12912495","CY MAHAPA","12912495@mylife.unisa.ac.za",
"12917242","SQ GREYLING","12917242@mylife.unisa.ac.za",
"12958844","PA LEDWABA","12958844@mylife.unisa.ac.za",
"12962013","QR MAULANA","12962013@mylife.unisa.ac.za",
"13005194","M  NEMALILI","13005194@mylife.unisa.ac.za",
"13036680","ZJ NAGGAN","13036680@mylife.unisa.ac.za",
"13051410","QU NEMUKULA","13051410@mylife.unisa.ac.za",
"13068071","VP DIBODU","13068071@mylife.unisa.ac.za",
"13100068","OO NELL","13100068@mylife.unisa.ac.za",
"13128296","JY DAMBAMUROMO","13128296@mylife.unisa.ac.za",
"13146067","VQ MOTOLO","13146067@mylife.unisa.ac.za",
"13156393","TT MCHUNU","13156393@mylife.unisa.ac.za",
"13180290","HR MOSAMO","13180290@mylife.unisa.ac.za",
"13201048","IB MONARE","13201048@mylife.unisa.ac.za",
"13211140","KL MUJATI","13211140@mylife.unisa.ac.za",
"13227992","QR MABULALA","13227992@mylife.unisa.ac.za",
"13235874","RJ MOSI","13235874@mylife.unisa.ac.za",
"13269560","PD TSHIDINO","13269560@mylife.unisa.ac.za",
"13295456","LN RAMATSUI","13295456@mylife.unisa.ac.za",
"13317770","FG MAGWAZA","13317770@mylife.unisa.ac.za",
"13333040","IN KASENZA","13333040@mylife.unisa.ac.za",
"13358662","GQ ZINDERE","13358662@mylife.unisa.ac.za",
"13384467","WI RATLADI","13384467@mylife.unisa.ac.za",
"13402840","TG BIKRAM","13402840@mylife.unisa.ac.za",
"13407928","PC GOVENDER","13407928@mylife.unisa.ac.za",
"13421068","WH MUROVA","13421068@mylife.unisa.ac.za",
"13470238","MQ KGATLA","13470238@mylife.unisa.ac.za",
"13496847","CB MOLOI","13496847@mylife.unisa.ac.za",
"13502561","OG JORDAAN","13502561@mylife.unisa.ac.za",
"13566489","LN NYAKAMA","13566489@mylife.unisa.ac.za",
"13572005","PC NGOBENI","13572005@mylife.unisa.ac.za",
"13642652","TQ BIYASE","13642652@mylife.unisa.ac.za",
"13643475","ZX SIKHITHA","13643475@mylife.unisa.ac.za",
"13648698","AU KHOZA","13648698@mylife.unisa.ac.za",
"13673977","PF MPHELA","13673977@mylife.unisa.ac.za",
"13685629","GQ MABUNDA","13685629@mylife.unisa.ac.za",
"13702516","KI PATHER","13702516@mylife.unisa.ac.za",
"13712061","SI TSOEU","13712061@mylife.unisa.ac.za",
"13751306","TW MASEKO","13751306@mylife.unisa.ac.za",
"13761341","HI MOEKETSI","13761341@mylife.unisa.ac.za",
"13771138","JW MAFUNE","13771138@mylife.unisa.ac.za",
"13775740","ZU SKHOSANA","13775740@mylife.unisa.ac.za",
"13786800","JF SINGH","13786800@mylife.unisa.ac.za",
"13792653","ED RADINNE","13792653@mylife.unisa.ac.za",
"13793720","VD MAFEREKA","13793720@mylife.unisa.ac.za",
"13798066","W  MBANYELE","13798066@mylife.unisa.ac.za",
"13830181","GI LOMBAARD","13830181@mylife.unisa.ac.za",
"13837422","YM SELOGA","13837422@mylife.unisa.ac.za",
"13840777","IG BOOYSEN","13840777@mylife.unisa.ac.za",
"13869200","JR KOSIMA-MUHA","13869200@mylife.unisa.ac.za",
"13885374","BE NDIKUYEZE","13885374@mylife.unisa.ac.za",
"13896998","EB MAMABOLO","13896998@mylife.unisa.ac.za",
"13973659","AK TLOU","13973659@mylife.unisa.ac.za",
"13997322","EP HENN","13997322@mylife.unisa.ac.za",
"14028044","KZ KOMANE","14028044@mylife.unisa.ac.za",
"14040468","AV LUVANGO","14040468@mylife.unisa.ac.za",
"14082570","ML FUNGENE","14082570@mylife.unisa.ac.za",
"14100807","AX MATHEBULA","14100807@mylife.unisa.ac.za",
"14106669","HV SIBANYONI","14106669@mylife.unisa.ac.za",
"14112141","MA SHIHLOMULO","14112141@mylife.unisa.ac.za",
"14112294","NS DESAI","14112294@mylife.unisa.ac.za",
"14112966","QU BILL","14112966@mylife.unisa.ac.za",
"14117981","N  NTULI","14117981@mylife.unisa.ac.za",
"14149328","VP NAICKER","14149328@mylife.unisa.ac.za",
"14151841","ZL RADUVHA","14151841@mylife.unisa.ac.za",
"14164480","LA BAINZE","14164480@mylife.unisa.ac.za",
"14176674","XB MAHARAJ","14176674@mylife.unisa.ac.za",
"14185104","JL SHAMU","14185104@mylife.unisa.ac.za",
"14243178","KE MODIPA","14243178@mylife.unisa.ac.za",
"14254715","JZ MAKGATLHA","14254715@mylife.unisa.ac.za",
"14267697","SZ DICHABE","14267697@mylife.unisa.ac.za",
"14287247","VL BURRUN","14287247@mylife.unisa.ac.za",
"14294140","OY MASETSEBE","14294140@mylife.unisa.ac.za",
"14297070","SO MOTSOGI","14297070@mylife.unisa.ac.za",
"14313912","GX NTUSI","14313912@mylife.unisa.ac.za",
"14328446","UB DACHE","14328446@mylife.unisa.ac.za",
"14330674","JC MANAMELA","14330674@mylife.unisa.ac.za",
"14332683","GD MSOMI","14332683@mylife.unisa.ac.za",
"14341920","YK MABUNDA","14341920@mylife.unisa.ac.za",
"14342763","JM MBAMBALA","14342763@mylife.unisa.ac.za",
"14349887","CY PHASHA","14349887@mylife.unisa.ac.za",
"14358023","VQ JALI","14358023@mylife.unisa.ac.za",
"14404645","OR KARLIE","14404645@mylife.unisa.ac.za",
"14425518","FH ZONDI","14425518@mylife.unisa.ac.za",
"14432975","JK NGCOBO","14432975@mylife.unisa.ac.za",
"14489041","SD RAFEDILE","14489041@mylife.unisa.ac.za",
"14493533","TY MALEBA","14493533@mylife.unisa.ac.za",
"14499367","JM SITHOLE","14499367@mylife.unisa.ac.za",
"14501011","RC PATIL","14501011@mylife.unisa.ac.za",
"14559440","JW MOSIME","14559440@mylife.unisa.ac.za",
"14562460","EB CHIKWEKWETE","14562460@mylife.unisa.ac.za",
"14566543","OA MUDAU","14566543@mylife.unisa.ac.za",
"14592916","OL GUMEDE","14592916@mylife.unisa.ac.za",
"14642018","BU MURAMBADORO","14642018@mylife.unisa.ac.za",
"14644919","MJ OCHUIZEN","14644919@mylife.unisa.ac.za",
"14649726","IR MATHLAKWANE","14649726@mylife.unisa.ac.za",
"14656811","EK VHULAHANI","14656811@mylife.unisa.ac.za",
"14679040","ZQ MBUVHA","14679040@mylife.unisa.ac.za",
"14705716","EI GANGASHE","14705716@mylife.unisa.ac.za",
"14739873","AP CHITATE","14739873@mylife.unisa.ac.za",
"14742071","XS CLASSEN","14742071@mylife.unisa.ac.za",
"14754648","RC MATHEBULA","14754648@mylife.unisa.ac.za",
"14757613","WK MASIPA","14757613@mylife.unisa.ac.za",
"14757821","ER MOLOI","14757821@mylife.unisa.ac.za",
"14769147","XS MUJINGA","14769147@mylife.unisa.ac.za",
"14776371","LF MOLOI","14776371@mylife.unisa.ac.za",
"14812077","PB RANJITH","14812077@mylife.unisa.ac.za",
"14813361","CC RAVERA","14813361@mylife.unisa.ac.za",
"14815560","TL HLONGWANE","14815560@mylife.unisa.ac.za",
"14827365","BR MOEPI","14827365@mylife.unisa.ac.za",
"14828207","QI FYNN","14828207@mylife.unisa.ac.za",
"14837893","CB MOKAUTU","14837893@mylife.unisa.ac.za",
"14847914","RW MANYAKA","14847914@mylife.unisa.ac.za",
"14876974","BC MDWALAZA","14876974@mylife.unisa.ac.za",
"14883546","HD MAPHUPHA","14883546@mylife.unisa.ac.za",
"14886863","UG MANGWANE","14886863@mylife.unisa.ac.za",
"14892240","RF NKOANA","14892240@mylife.unisa.ac.za",
"14899828","XW PILLAY","14899828@mylife.unisa.ac.za",
"14907066","TI NDZERU","14907066@mylife.unisa.ac.za",
"14926621","RT MOLOTSANE","14926621@mylife.unisa.ac.za",
"14938268","SP THOLE","14938268@mylife.unisa.ac.za",
"14939695","JH MOHLONGO","14939695@mylife.unisa.ac.za",
"14983394","NG MAHLAKANYA","14983394@mylife.unisa.ac.za",
"15049627","GX MALUNGANI","15049627@mylife.unisa.ac.za",
"15050636","SY NGOMANI","15050636@mylife.unisa.ac.za",
"15055906","QD TSHABALALA","15055906@mylife.unisa.ac.za",
"15061379","DG KADZURA","15061379@mylife.unisa.ac.za",
"15064045","JG LOMBARD","15064045@mylife.unisa.ac.za",
"15118413","JS MUSIZVINGOZA","15118413@mylife.unisa.ac.za",
"15131466","GI MOTSOAI","15131466@mylife.unisa.ac.za",
"15161970","YQ FUNZANI","15161970@mylife.unisa.ac.za",
"15169443","ZV MOTLOUNG","15169443@mylife.unisa.ac.za",
"15169904","RK GREEN-THOMPSON","15169904@mylife.unisa.ac.za",
"15170637","VH NKOSI","15170637@mylife.unisa.ac.za",
"15181509","PD KHALANE","15181509@mylife.unisa.ac.za",
"15187539","OU APHANE","15187539@mylife.unisa.ac.za",
"15192555","DH JORDAAN","15192555@mylife.unisa.ac.za",
"15203931","FQ MATHABATHA","15203931@mylife.unisa.ac.za",
"15233429","AY DULLABH","15233429@mylife.unisa.ac.za",
"15252215","VU MOLOKOME","15252215@mylife.unisa.ac.za",
"15275945","JN MKHWANAZI","15275945@mylife.unisa.ac.za",
"15280964","EH ZONDI","15280964@mylife.unisa.ac.za",
"15300012","LE SCHMIDT","15300012@mylife.unisa.ac.za",
"15305117","ZA TSWENE","15305117@mylife.unisa.ac.za",
"15310210","NQ AYRES","15310210@mylife.unisa.ac.za",
"15314599","QC NAICKER","15314599@mylife.unisa.ac.za",
"15356852","ER DOMINGOS","15356852@mylife.unisa.ac.za",
"15385552","ND NKANYANE","15385552@mylife.unisa.ac.za",
"15421774","QR MAMPA","15421774@mylife.unisa.ac.za",
"15428523","QX RADEBE","15428523@mylife.unisa.ac.za",
"15440183","SW RAMDAS","15440183@mylife.unisa.ac.za",
"15471347","NS JUMAT","15471347@mylife.unisa.ac.za",
"15473257","NH DALASILE","15473257@mylife.unisa.ac.za",
"15477059","OF NDABA","15477059@mylife.unisa.ac.za",
"15488154","EW RAMBALLI","15488154@mylife.unisa.ac.za",
"15495255","CM RAMOIPONE","15495255@mylife.unisa.ac.za",
"15506663","KL MAPUTLE","15506663@mylife.unisa.ac.za",
"15510345","HC CELE","15510345@mylife.unisa.ac.za",
"15552103","KE MTHOMBENI","15552103@mylife.unisa.ac.za",
"15622623","UR BOIKANYO","15622623@mylife.unisa.ac.za",
"15636477","HE LEKOADI","15636477@mylife.unisa.ac.za",
"15651351","BP POOE","15651351@mylife.unisa.ac.za",
"15695470","SE CHELHANGO","15695470@mylife.unisa.ac.za",
"15704367","ZX BANDA","15704367@mylife.unisa.ac.za",
"15736491","NX KANDHAI","15736491@mylife.unisa.ac.za",
"15895528","EN GOVENDER","15895528@mylife.unisa.ac.za",
"15937642","LZ LANGA","15937642@mylife.unisa.ac.za",
"16033760","EI MORUTHANE","16033760@mylife.unisa.ac.za",
"16055195","GR TSUELLE","16055195@mylife.unisa.ac.za",
"16058481","TH LEWIS","16058481@mylife.unisa.ac.za",
"16088954","BB SUN","16088954@mylife.unisa.ac.za",
"16093066","SV MOKGALAGADI","16093066@mylife.unisa.ac.za",
"16124280","NF DYASI","16124280@mylife.unisa.ac.za",
"16176156","JF DANA","16176156@mylife.unisa.ac.za",
"16180306","FM MADIRO","16180306@mylife.unisa.ac.za",
"16198198","YU MATOME","16198198@mylife.unisa.ac.za",
"16204690","SX MASEMOLA","16204690@mylife.unisa.ac.za",
"16223603","TI SIMON","16223603@mylife.unisa.ac.za",
"16223938","PU MAMPSHIKA","16223938@mylife.unisa.ac.za",
"16237896","FJ MBATHA","16237896@mylife.unisa.ac.za",
"16261323","UW BAALE","16261323@mylife.unisa.ac.za",
"16262151","DO SELOMO","16262151@mylife.unisa.ac.za",
"16307075","DM NHLIZIYO","16307075@mylife.unisa.ac.za",
"16310149","LM DHLODHLO","16310149@mylife.unisa.ac.za",
"16312134","ZV MAZUMBUZE","16312134@mylife.unisa.ac.za",
"16313134","YT MODISE","16313134@mylife.unisa.ac.za",
"16313378","HF MATHEBULA","16313378@mylife.unisa.ac.za",
"16316787","II NDHLOVU","16316787@mylife.unisa.ac.za",
"16332401","SV MBUYANE","16332401@mylife.unisa.ac.za",
"16355545","YK TEMBO","16355545@mylife.unisa.ac.za",
"16375195","XR MATHEBULA","16375195@mylife.unisa.ac.za",
"16414553","XF NAIDOO","16414553@mylife.unisa.ac.za",
"16426410","DU MACHERE","16426410@mylife.unisa.ac.za",
"16436538","UP MAHLANGU","16436538@mylife.unisa.ac.za",
"16440696","CS MNEMBE","16440696@mylife.unisa.ac.za",
"16456102","AV NJAKAZI","16456102@mylife.unisa.ac.za",
"16460672","JK GAMA","16460672@mylife.unisa.ac.za",
"16470267","XE PIETERSE","16470267@mylife.unisa.ac.za",
"16485067","FI MATINISI","16485067@mylife.unisa.ac.za",
"16491842","G  MAEKA","16491842@mylife.unisa.ac.za",
"16546361","WL CHANAR","16546361@mylife.unisa.ac.za",
"16565634","LQ LUBANDO","16565634@mylife.unisa.ac.za",
"16590868","XS ISMAIL","16590868@mylife.unisa.ac.za",
"16646683","LI BALOYI","16646683@mylife.unisa.ac.za",
"16652054","QW OTOBOR","16652054@mylife.unisa.ac.za",
"16679667","YJ MULOVHEDZI","16679667@mylife.unisa.ac.za",
"16691262","HK SHOZI","16691262@mylife.unisa.ac.za",
"16696272","VZ MAKOPOI","16696272@mylife.unisa.ac.za",
"16698365","IN MOKOENA","16698365@mylife.unisa.ac.za",
"16701599","AN RAPHALALANI","16701599@mylife.unisa.ac.za",
"16705463","SO MALAPELA","16705463@mylife.unisa.ac.za",
"16738138","UT MBATHA","16738138@mylife.unisa.ac.za",
"16761194","NK PLAATJIES","16761194@mylife.unisa.ac.za",
"16772771","NE RAMOTSEHOA","16772771@mylife.unisa.ac.za",
"16791173","GZ JANGWANDA","16791173@mylife.unisa.ac.za",
"16811378","IC MAFHARA","16811378@mylife.unisa.ac.za",
"16812698","JH MOGOMOTSI","16812698@mylife.unisa.ac.za",
"16814870","UR LEMEKOANA","16814870@mylife.unisa.ac.za",
"16818514","RE MAHARAJ","16818514@mylife.unisa.ac.za",
"16835733","HS MBATHA","16835733@mylife.unisa.ac.za",
"16844493","BJ NAPOLI","16844493@mylife.unisa.ac.za",
"16902783","WU MOLIKOE","16902783@mylife.unisa.ac.za",
"16925632","SC BELE","16925632@mylife.unisa.ac.za",
"16952652","ZL NODADA","16952652@mylife.unisa.ac.za",
"16952981","TL RADEBE","16952981@mylife.unisa.ac.za",
"16955202","EZ MAMABOLO","16955202@mylife.unisa.ac.za",
"16981736","KL RAMOBA","16981736@mylife.unisa.ac.za",
"16988090","AL SINGH","16988090@mylife.unisa.ac.za",
"17007350","MH TLADINYANE","17007350@mylife.unisa.ac.za",
"17009226","G  RAMPEDI","17009226@mylife.unisa.ac.za",
"17022677","YF NGOBENI","17022677@mylife.unisa.ac.za",
"17027895","TO LEPELLE","17027895@mylife.unisa.ac.za",
"17041718","YO MARE","17041718@mylife.unisa.ac.za",
"17049921","RY GAUD","17049921@mylife.unisa.ac.za",
"17052307","TA MAKHUBELE","17052307@mylife.unisa.ac.za",
"17061904","VX RAPHALO","17061904@mylife.unisa.ac.za",
"17082491","MS MUKUNGURUTSE","17082491@mylife.unisa.ac.za",
"17089376","KZ LAUBSCHER","17089376@mylife.unisa.ac.za",
"17097323","JZ VHULAHANI","17097323@mylife.unisa.ac.za",
"17104176","FR NGOBENI","17104176@mylife.unisa.ac.za",
"17113211","BZ MASANGO","17113211@mylife.unisa.ac.za",
"17135598","GT PHOTOANE","17135598@mylife.unisa.ac.za",
"17154037","GT MOHLALA","17154037@mylife.unisa.ac.za",
"17170498","EG MATOLE","17170498@mylife.unisa.ac.za",
"17195328","CG TSITSI","17195328@mylife.unisa.ac.za",
"17245275","ZZ MOODLEY","17245275@mylife.unisa.ac.za",
"17253501","ZN JAKAVULA","17253501@mylife.unisa.ac.za",
"17271795","ZQ MUDHOMBO","17271795@mylife.unisa.ac.za",
"17284446","QU HARRIS","17284446@mylife.unisa.ac.za",
"17289310","FG MOHAPI","17289310@mylife.unisa.ac.za",
"17305548","AU MOBE","17305548@mylife.unisa.ac.za",
"17314380","LR NAIDOO","17314380@mylife.unisa.ac.za",
"17344991","XB MANTHE","17344991@mylife.unisa.ac.za",
"17351454","UZ LIMALIA","17351454@mylife.unisa.ac.za",
"17354695","XL MPE","17354695@mylife.unisa.ac.za",
"17355590","FZ MOODLEY","17355590@mylife.unisa.ac.za",
"17358524","WO MASILELA","17358524@mylife.unisa.ac.za",
"17375704","QU MAENETJA","17375704@mylife.unisa.ac.za",
"17375967","LD MAGEE","17375967@mylife.unisa.ac.za",
"17381376","JJ MATHEBULA","17381376@mylife.unisa.ac.za",
"17403102","X  SIBANDA","17403102@mylife.unisa.ac.za",
"17411330","QA MOTHAPO","17411330@mylife.unisa.ac.za",
"17518223","RZ TSHIVHASE","17518223@mylife.unisa.ac.za",
"17567567","XN LETSOALO","17567567@mylife.unisa.ac.za",
"17586553","NR RAPIYA","17586553@mylife.unisa.ac.za",
"17697394","ZF MMEREGI","17697394@mylife.unisa.ac.za",
"17721869","UJ NENE","17721869@mylife.unisa.ac.za",
"17729198","IB MAKOTORE","17729198@mylife.unisa.ac.za",
"17729745","CT KALABA","17729745@mylife.unisa.ac.za",
"17748882","HL MASHABA","17748882@mylife.unisa.ac.za",
"17764864","QI SELEMOGO","17764864@mylife.unisa.ac.za",
"17777018","SC MUYAMBO","17777018@mylife.unisa.ac.za",
"17779240","VC PADAYACHEE","17779240@mylife.unisa.ac.za",
"17783577","YS NTSHALINTSHALI","17783577@mylife.unisa.ac.za",
"17786642","EG MNWANA","17786642@mylife.unisa.ac.za",
"17788598","CE DOMBURG","17788598@mylife.unisa.ac.za",
"17811909","VF MATJILA","17811909@mylife.unisa.ac.za",
"17876161","JJ GUMEDE","17876161@mylife.unisa.ac.za",
"17916165","JR CHINGA","17916165@mylife.unisa.ac.za",
"17920546","FL NAMATHE","17920546@mylife.unisa.ac.za",
"17941264","BE MALATJI","17941264@mylife.unisa.ac.za",
"17950158","QI MEWALALL","17950158@mylife.unisa.ac.za",
"17969045","AL VELEN","17969045@mylife.unisa.ac.za",
"17978926","NT MASWANGANYE","17978926@mylife.unisa.ac.za",
"17982798","TP SHAMUYARIRA","17982798@mylife.unisa.ac.za",
"17995186","B  MESO","17995186@mylife.unisa.ac.za",
"18008449","SX MDLADLANA","18008449@mylife.unisa.ac.za",
"18043513","NB SETSIBA","18043513@mylife.unisa.ac.za",
"18050602","YD NKUNA","18050602@mylife.unisa.ac.za",
"18101471","JJ MNCINA","18101471@mylife.unisa.ac.za",
"18105395","WQ DLAMINI","18105395@mylife.unisa.ac.za",
"18136837","YT HARRICHUNDER","18136837@mylife.unisa.ac.za",
"18139274","EO HLUNGWANA","18139274@mylife.unisa.ac.za",
"18155544","YO MUKANDI","18155544@mylife.unisa.ac.za",
"18171128","YA MASEMOLA","18171128@mylife.unisa.ac.za",
"18189010","PU MOYO","18189010@mylife.unisa.ac.za",
"18223279","RB MUZAMBI","18223279@mylife.unisa.ac.za",
"18243357","NZ VAN DER WALT","18243357@mylife.unisa.ac.za",
"18273177","SD MAKGABUTLANE","18273177@mylife.unisa.ac.za",
"18278274","BB STUURMAN","18278274@mylife.unisa.ac.za",
"18282944","MX SELANE","18282944@mylife.unisa.ac.za",
"18285403","SX NARE","18285403@mylife.unisa.ac.za",
"18303575","AM MOTHAPO","18303575@mylife.unisa.ac.za",
"18327232","YG CRONJE","18327232@mylife.unisa.ac.za",
"18344154","LY LUPINDO","18344154@mylife.unisa.ac.za",
"18351966","LF CONRADIE","18351966@mylife.unisa.ac.za",
"18356234","UD MNGUNI","18356234@mylife.unisa.ac.za",
"18365362","VN MKONZA","18365362@mylife.unisa.ac.za",
"18372654","MN BINDHA","18372654@mylife.unisa.ac.za",
"18383894","GG MOLEKANA","18383894@mylife.unisa.ac.za",
"18397100","YF MKHONTO","18397100@mylife.unisa.ac.za",
"18397102","CC MASHIKA","18397102@mylife.unisa.ac.za",
"18453258","IV RINGANI","18453258@mylife.unisa.ac.za",
"18460182","JI RAMDEYU","18460182@mylife.unisa.ac.za",
"18477462","JI MBABELA","18477462@mylife.unisa.ac.za",
"18483596","ET MABUNDA","18483596@mylife.unisa.ac.za",
"18505104","CJ GERBER","18505104@mylife.unisa.ac.za",
"18505261","FB MAHLANGU","18505261@mylife.unisa.ac.za",
"18540760","XH CHAKAUYA","18540760@mylife.unisa.ac.za",
"18592263","XE SIYONI","18592263@mylife.unisa.ac.za",
"18594430","TY NDAWANA","18594430@mylife.unisa.ac.za",
"18599081","RQ BALOYI","18599081@mylife.unisa.ac.za",
"18612156","BB MOKELE","18612156@mylife.unisa.ac.za",
"18632189","GH MAKWELA","18632189@mylife.unisa.ac.za",
"18675629","CE MASHININI","18675629@mylife.unisa.ac.za",
"18682990","WK MOONSAMY","18682990@mylife.unisa.ac.za",
"18702211","YQ HLONGWANA","18702211@mylife.unisa.ac.za",
"18714654","NI QENDE","18714654@mylife.unisa.ac.za",
"18720160","RU BAZANA","18720160@mylife.unisa.ac.za",
"18724857","SE SOSITENI","18724857@mylife.unisa.ac.za",
"18737460","AG LONGWE","18737460@mylife.unisa.ac.za",
"18738225","GV NCHABELENG","18738225@mylife.unisa.ac.za",
"18739862","WD LEKGOTHWANE","18739862@mylife.unisa.ac.za",
"18760687","XB MNISI","18760687@mylife.unisa.ac.za",
"18769443","DP GASA","18769443@mylife.unisa.ac.za",
"18778472","DY ROETS","18778472@mylife.unisa.ac.za",
"18801259","GH TSHITE","18801259@mylife.unisa.ac.za",
"18812872","BU NETSHIOMBO","18812872@mylife.unisa.ac.za",
"18829257","LE TSHOKE","18829257@mylife.unisa.ac.za",
"18836063","QE NHLAPO","18836063@mylife.unisa.ac.za",
"18839516","XS LANGA","18839516@mylife.unisa.ac.za",
"18848350","YO SILETI","18848350@mylife.unisa.ac.za",
